t,A,B
0.0,0.1,0.1
0.0009232918741358983,0.21128480091791269,0.18434207272186137
0.0027567861713711263,0.42161530693823085,0.3397302653291655
0.005082048262080755,0.6626035749678292,0.50690157477455
0.008613341784558899,0.9768673220320763,0.7025388823691137
0.0121973570416444,1.2476372974711136,0.8500146482269128
0.016430628830445437,1.5246595229726743,0.9821170885822357
0.021657660355953796,1.823365465849154,1.105709207913608
0.028222496600607397,2.1529626334367182,1.222530001690139
0.03654231450543007,2.5220381918864097,1.3327893138307076
0.047130658718467416,2.939465096125985,1.435749409001407
0.060618358243786204,3.4149231030745715,1.5299762521806297
0.07777080051597675,3.9592606424045798,1.6134638089846487
0.09949955057297608,4.584862711691748,1.683734683082181
0.12686549682904225,5.306171637890562,1.737969825918966
0.16107230913296433,6.140578894149979,1.7731981256838798
0.20345394889494262,7.110039036369197,1.786552423400091
0.25546959670574804,8.24397066277561,1.7755643645320447
0.318737195742167,9.58443444831303,1.7384284807900252
0.3951578752304954,11.195313828824093,1.6741313047605808
0.4872753913954208,13.180286837250023,1.5822822146294273
0.5992830731357796,15.72424866156988,1.4622837030020301
0.740733277149371,19.229582754241466,1.3101372541994725
0.9278065952226062,24.486027287418842,1.1204613738070255
1.1141087937801948,30.482507477392396,0.9512940070304856
1.2920565506738118,36.87553693789611,0.8097744123819506
1.4750916130973968,43.98508408654028,0.683963380735555
1.6672286813006931,51.79290447652529,0.5715645587723867
1.871175005269757,60.15139570527686,0.471637810264413
2.0,65.32417220564743,0.4175084706741754
2.025153486028077,63.78644216725397,0.4076835599506283
2.2470780548681004,51.79288512085037,0.3321457901710344
2.4575734165812055,42.65725649153292,0.27707121617933683
2.6571289495036305,35.61943378875096,0.23797532937431617
2.844534265522311,30.18329893786627,0.21200131249491103
3.0202685871591317,25.93798782399008,0.19683017119042917
3.1858149913778107,22.568991800268627,0.19080967861696074
3.3430211489743487,19.847191280980077,0.19292629591765068
3.4940393699190446,17.604913547393146,0.20273597632822407
3.641247872868238,15.719227722046316,0.22036734946797282
3.7858197837220646,14.11401071594673,0.24629801590934927
3.9286930860479097,12.732886883181001,0.28129513726161304
4.0,12.110241275425928,0.30259229229938556
4.021786774671633,12.22597907284359,0.3094265413567896
4.16461966948539,12.894587083051931,0.34549797415583067
4.308925238410646,13.437632471711963,0.3701295045793316
4.466422389802784,13.914168871602755,0.38765355195654855
4.637015033302176,14.327318141534237,0.3990338331471931
